Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
AAPL,Apple Inc,163.62,84.81624,$2.63T,0.56228,United States of America,Information Technology,"Technology Hardware, Storage & Peripherals",Yes (Option Chain)
MSFT,Microsoft Corp,268.09,28.89152,$2.00T,0.92506,United States of America,Information Technology,Software,Yes (Option Chain)
AMZN,Amazon.com Inc,130.75,79.52036,$1.33T,,United States of America,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
TSLA,Tesla Inc,288.09,88.43256,$902.72B,,United States of America,Consumer Discretionary,Automobiles,Yes (Option Chain)
GOOGL,Alphabet Inc,110.34,36.30316,$759.25B,,United States of America,Communication Services,Interactive Media & Services,Yes (Option Chain)
GOOG,Alphabet Inc,111.3,29.51896,$685.94B,,United States of America,Communication Services,Interactive Media & Services,Yes (Option Chain)
UNH,Unitedhealth Group Inc,529.25,3.04507,$495.05B,1.24705,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
TSM,Taiwan Semiconductor Manufacturing Co Ltd,84.74,10.82686,$439.47B,2.19216,Taiwan,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
META,Meta Platforms Inc,161.78,31.39012,$434.79B,,United States of America,Communication Services,Interactive Media & Services,No
JNJ,Johnson & Johnson,164.27,7.15076,$431.90B,2.75157,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
V,Visa Inc,202.89,6.71224,$419.75B,0.73932,United States of America,Information Technology,IT Services,Yes (Option Chain)
XOM,Exxon Mobil Corp,97.87,26.10532,$407.89B,3.59661,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
NVDA,NVIDIA Corporation,162.6,55.55527,$406.50B,0.0984,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
BRK/B,Berkshire Hathaway Inc,289.96,4.21037,$377.27B,,United States of America,Financials,Diversified Financial Services,Yes (Option Chain)
WMT,Walmart Inc,131.6,9.29544,$360.74B,1.70213,United States of America,Consumer Staples,Food & Staples Retailing,Yes (Option Chain)
PG,Procter & Gamble Co (The),142.29,7.31942,$340.01B,2.56743,United States of America,Consumer Staples,Household Products,Yes (Option Chain)
JPM,JPMorgan Chase & Co,114.67,13.01852,$336.79B,3.48827,United States of America,Financials,Banks,Yes (Option Chain)
MA,Mastercard Inc,331.96,3.02824,$320.80B,0.59043,United States of America,Information Technology,IT Services,Yes (Option Chain)
CVX,Chevron Corp,163.41,10.07588,$319.86B,3.47592,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
HD,Home Depot Inc. (The),298.1,3.91713,$305.17B,2.54948,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
LLY,Eli Lilly and Co,315.56,2.84365,$299.84B,1.24224,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
BAC,Bank of America Corp,34.03,44.43096,$273.44B,2.58595,United States of America,Financials,Banks,Yes (Option Chain)
KO,Coca-Cola Co (The),63.11,15.85605,$272.93B,2.78878,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
PFE,Pfizer Inc,46.82,21.57228,$262.77B,3.41734,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
BRK/A,Berkshire Hathaway Inc,436201.0,0.00246,$261.72B,,United States of America,Financials,Diversified Financial Services,No
BABA,Alibaba Group Holding Ltd,98.0,26.37688,$259.46B,,China,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
PEP,PepsiCo Inc,175.04,4.89159,$241.57B,2.62797,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
ABBV,AbbVie Inc,136.35,6.28592,$241.08B,4.13641,United States of America,Health Care,Biotechnology,Yes (Option Chain)
COST,Costco Wholesale Corp,531.82,2.64104,$235.58B,0.67692,United States of America,Consumer Staples,Food & Staples Retailing,Yes (Option Chain)
