ticker,sector,industry,earnings_date,currency,curr_price_date,foll_price_date,current_price,following_price,percent_change,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2017-09-30,USD,2017-10-06,2018-09-07,36.9507,53.4496,0.4465111621701348,88186000000,229234000000,141048000000,141048000000,61344000000,15261000000,11581000000,26842000000,5201000000,-2323000000,5201000000,2323000000,229234000000,-133000000,8200000000,1200000000,64089000000,15738000000,2323000000,48351000000,47567000000,66412000000,67612000000,48351000000,64225000000,2092000000,None,8838000000,14388000000,10157000000,12795000000,6347000000,2723000000,48351000000,-46446000000,-17974000000,7704000000,32900000000,32900000000,None,12769000000,12563000000,None,555000000,28662000000,None,-32345000000,None,-195000000,None,375319000000,128645000000,20289000000,74181000000,4855000000,35673000000,246674000000,33783000000,41293000000,8015000000,2298000000,5717000000,268895000000,194714000000,53892000000,13936000000,18177000000,241272000000,100814000000,44242000000,10384000000,18473000000,11977000000,140458000000,None,112596000000,6496000000,97207000000,219794000000,30551000000,40415000000,134047000000,None,98330000000,35867000000,5126201000
MSFT,Information Technology,Software,2017-06-30,USD,2017-07-07,2018-06-08,65.2018,97.2576,0.49163980135517715,62310000000,96571000000,34261000000,34261000000,29025000000,20020000000,13037000000,35063000000,1387000000,-2222000000,1182000000,2222000000,-674000000,-251000000,6100000000,1700000000,29901000000,4412000000,2222000000,21204000000,24322000000,32123000000,33823000000,25489000000,39507000000,2068000000,None,69711000000,348000000,7800000000,8129000000,925000000,-50000000,21204000000,-46781000000,8408000000,-4963000000,11788000000,11788000000,None,11845000000,11845000000,None,772000000,None,None,-11016000000,None,1153000000,19000000,250312000000,162696000000,7663000000,132981000000,2181000000,19792000000,81235000000,23734000000,24179000000,45228000000,10106000000,35122000000,139004000000,6023000000,125318000000,5103000000,6076000000,162601000000,55745000000,7390000000,26656000000,10121000000,9072000000,117665000000,None,77100000000,1049000000,76073000000,86172000000,7684000000,3549000000,87711000000,None,17769000000,69315000000,7708000000
AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,2017-12-31,USD,2018-01-05,2018-12-07,1229.14,1629.13,0.32542265323722275,51222000000,177265000000,126043000000,111934000000,4106000000,13743000000,22620000000,14949000000,202000000,-848000000,202000000,848000000,247000000,346000000,8800000000,366000000,3802000000,769000000,848000000,3033000000,3534000000,4650000000,5016000000,3033000000,18365000000,0,None,7913000000,3583000000,11478000000,11955000000,-4786000000,3583000000,3033000000,-27084000000,9928000000,None,None,None,None,None,None,None,None,16231000000,None,None,None,1188000000,713000000,131310000000,60197000000,20522000000,30986000000,16047000000,13164000000,74484000000,48866000000,23790000000,16721000000,3371000000,13350000000,22286000000,441000000,10464000000,1329000000,8897000000,103601000000,57883000000,34616000000,6100000000,5900000000,100000000,55156000000,13183000000,24942000000,100000000,24743000000,24942000000,18170000000,20975000000,27709000000,1837000000,8636000000,5000000,484000000
TSLA,Consumer Discretionary,Automobiles,2017-12-31,USD,2018-01-05,2018-12-07,63.316,71.594,0.13074104491755625,2223000000,11759000000,9536000000,7797183000,-1632000000,2477000000,1378000000,3855000000,19686000,-471259000,-259000,471000000,948469000,-125000000,769000000,1636003000,-1930000000,32000000,471259000,-2240578000,-1905000000,-1459000000,177003000,-1962000000,-61000000,248266000,None,639372000,275569000,769300000,3414814000,24635000,179000000,-2241000000,-4196000000,4415000000,511321000,None,230385000,None,None,None,None,400000000,None,52883000,481789000,None,-25302000,39455000,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,1801010000,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000
GOOGL,Communication Services,Interactive Media & Services,2017-12-31,USD,2018-01-05,2018-12-07,1110.29,1046.58,-0.05738140485819024,65272000000,110855000000,45583000000,45583000000,26178000000,19765000000,16625000000,36390000000,None,-109000000,1312000000,109000000,-121000000,158000000,None,6915000000,27193000000,14531000000,109000000,12506000000,14072000000,27302000000,24393000000,12662000000,37091000000,84000000,None,6012000000,5932000000,6915000000,13184000000,3768000000,None,12506000000,-31401000000,-8298000000,None,4846000000,4846000000,None,0,None,None,None,None,None,-4846000000,None,-2203000000,405000000,197295000000,124308000000,10715000000,101871000000,749000000,18705000000,72987000000,42383000000,17264000000,19439000000,2692000000,16747000000,104357000000,13713000000,91156000000,2983000000,2672000000,44793000000,24183000000,3137000000,1772000000,0,0,20180000000,26000000,4026000000,3969000000,3943000000,4026000000,19614000000,3059000000,152502000000,None,113247000000,40247000000,694783000
GOOG,Communication Services,Interactive Media & Services,2017-12-31,USD,2018-01-05,2018-12-07,1102.23,1036.58,-0.05956107164566387,65272000000,110855000000,45583000000,45583000000,26178000000,19765000000,16625000000,36390000000,None,-109000000,1312000000,109000000,-121000000,158000000,None,6915000000,27193000000,14531000000,109000000,12506000000,14072000000,27302000000,24393000000,12662000000,37091000000,84000000,None,6012000000,5932000000,6915000000,13184000000,3768000000,None,12506000000,-31401000000,-8298000000,None,4846000000,4846000000,None,0,None,None,None,None,None,-4846000000,None,-2203000000,405000000,197295000000,124308000000,10715000000,101871000000,749000000,18705000000,72987000000,42383000000,17264000000,19439000000,2692000000,16747000000,104357000000,13713000000,91156000000,2983000000,2672000000,44793000000,24183000000,3137000000,1772000000,0,0,20180000000,26000000,4026000000,3969000000,3943000000,4026000000,19614000000,3059000000,152502000000,None,113247000000,40247000000,694783000
NVDA,Information Technology,Semiconductors & Semiconductor Equipment,2018-01-28,USD,2018-02-02,2019-01-04,57.8344,33.8232,-0.41517159337695214,5822000000,9714000000,3892000000,3892000000,3210000000,815000000,1797000000,2612000000,69000000,-61000000,69000000,61000000,-19000000,-22000000,144000000,199000000,3196000000,149000000,80000000,3047000000,3045000000,3257000000,3456000000,3047000000,3502000000,55000000,None,571000000,419000000,201000000,593000000,440000000,0,3047000000,1278000000,-2544000000,None,909000000,909000000,None,341000000,341000000,None,None,0,None,-909000000,None,2236000000,None,11241000000,9255000000,4002000000,7108000000,796000000,1265000000,1986000000,997000000,740000000,670000000,52000000,618000000,3106000000,None,3106000000,319000000,319000000,3770000000,1153000000,596000000,63000000,20000000,15000000,1245000000,None,1985000000,15000000,None,1985000000,542000000,632000000,7471000000,6650000000,8787000000,1000000,606000000
FB,Communication Services,Interactive Media & Services,2017-12-31,USD,2018-01-05,2018-12-07,186.85,137.42,-0.2645437516724646,35199000000,40653000000,5454000000,5454000000,20203000000,7242000000,7754000000,15736000000,398000000,-6000000,398000000,6000000,-6000000,5000000,2330000000,692000000,20594000000,4660000000,6000000,15934000000,16410000000,20600000000,21292000000,15934000000,24216000000,0,None,3439000000,1647000000,3025000000,6733000000,1609000000,None,15934000000,-20118000000,-5235000000,0,1976000000,1976000000,None,None,None,None,None,None,None,-1976000000,None,-824000000,233000000,84524000000,48563000000,8079000000,41711000000,None,5832000000,35961000000,13721000000,4616000000,20105000000,1884000000,18221000000,33632000000,None,33632000000,1020000000,2135000000,10177000000,3760000000,380000000,68000000,None,390000000,6417000000,None,72000000,390000000,None,None,3282000000,6417000000,74347000000,None,33990000000,0,2910000000
TSM,Information Technology,Semiconductors & Semiconductor Equipment,2017-12-31,TWD,2018-01-05,2018-12-07,37.332,33.2926,-0.10820207864566593,494826400000,977442600000,482616200000,482616200000,386657100000,21196700000,80732500000,108169300000,None,6134400000,10200639000,3330300000,None,0,None,260142700000,396161900000,51122900000,None,345039000000,None,399451500000,659594200000,344998300000,585318200000,None,None,None,None,260142700000,335888500000,0,-25229100000,None,-336164900000,-215697600000,None,None,None,None,181512700000,181512700000,None,None,None,None,0,None,0,0,1991732000000,857203100000,553391700000,553391700000,73880700000,None,1134528900000,1062542300000,0,8526500000,8526500000,5648700000,None,41439400000,103185500000,4256800000,4266500000,497285500000,386890200000,None,None,None,63766800000,110395300000,0,91800000000,63766800000,None,155566800000,238986800000,1855600000,1493746800000,0,1205051300000,259303800000,5186076000
UNH,Health Care,Health Care Providers & Services,2017-12-31,USD,2018-01-05,2018-12-07,214.7691,256.1514,0.19268274626098453,145245000000,201159000000,55914000000,24112000000,15209000000,29557000000,None,31802000000,1023000000,-1186000000,-1186000000,1186000000,158453000000,None,799000000,2245000000,13758000000,3200000000,1186000000,10823000000,10572000000,14944000000,17189000000,10558000000,13596000000,129772000000,None,5543000000,1692000000,1695000000,2023000000,1062000000,None,10823000000,-8599000000,-3441000000,-3508000000,1500000000,1500000000,None,2773000000,2773000000,None,688000000,5291000000,None,-812000000,None,1551000000,-5000000,139058000000,37084000000,11981000000,15490000000,None,15830000000,101974000000,7013000000,3694000000,63045000000,8489000000,54556000000,31850000000,28341000000,3509000000,5764000000,3575000000,87036000000,50463000000,None,2269000000,2857000000,2857000000,38956000000,None,36886000000,2857000000,28835000000,31067000000,12286000000,5556000000,52022000000,None,48730000000,10000000,969000000
